no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,3,0,0,0,159,2018,8,7,1,0,0,0,114.75,1,1
2,0,0,3,0,0,1,28,2017,10,26,0,0,0,0,97.0,0,0
2,0,2,3,0,0,0,75,2018,3,17,0,0,0,0,80.0,0,0
2,0,2,2,0,0,0,159,2018,5,13,1,0,0,0,114.75,1,0
2,0,2,1,0,0,0,97,2018,10,17,0,0,0,0,80.75,1,1
2,0,1,3,2,1,0,109,2018,8,4,1,0,0,0,176.25,1,0
2,0,2,2,0,0,0,84,2018,10,16,0,0,0,0,80.75,2,0
2,0,2,2,0,0,0,18,2017,11,13,0,0,0,0,75.0,0,0
2,0,0,2,0,0,0,105,2018,4,13,0,0,0,0,75.0,1,1
2,0,2,1,1,0,0,154,2018,7,31,1,0,0,0,94.5,0,1
2,0,2,4,0,1,0,108,2017,9,19,1,0,0,0,98.25,1,0
2,0,1,3,1,0,0,159,2018,9,29,1,0,0,0,113.4,0,1
2,2,2,1,0,0,3,145,2018,10,29,1,0,0,0,184.95,0,0
2,0,0,3,2,0,0,34,2017,8,23,0,0,0,0,224.67,0,1
2,0,2,1,0,0,0,109,2017,7,18,1,0,0,0,76.5,0,1
2,1,0,1,0,0,0,27,2018,2,12,1,0,0,0,109.0,0,1
2,0,0,4,0,0,0,270,2018,4,22,0,0,0,0,62.8,0,1
2,0,0,2,0,0,1,82,2018,6,30,1,0,0,0,88.01,1,0
2,0,0,3,0,0,1,103,2018,5,5,1,0,0,0,95.88,1,1
2,0,0,5,0,0,0,166,2018,8,13,1,0,0,0,89.25,0,0
2,0,1,5,1,0,0,113,2018,6,30,1,0,0,0,85.0,0,1
2,0,0,4,0,0,1,156,2018,8,6,1,0,0,0,97.75,0,1
1,0,0,1,0,0,0,86,2017,9,24,0,0,0,0,87.5,0,0
3,0,0,2,0,0,1,84,2018,8,10,1,0,0,0,159.3,0,1
2,0,2,4,0,0,0,151,2018,10,6,1,0,0,0,91.48,0,1
2,0,0,2,0,0,0,39,2018,12,14,0,0,0,0,65.0,1,0
2,0,2,4,0,0,1,105,2018,8,24,1,0,0,0,150.3,0,1
2,0,1,2,0,0,0,113,2018,5,1,1,0,0,0,105.3,0,0
2,0,1,2,1,0,0,121,2018,11,12,1,0,0,0,79.2,0,1
2,0,2,0,0,0,0,13,2018,3,20,0,0,0,0,85.0,0,1
2,0,3,5,0,0,1,61,2018,5,25,1,0,0,0,159.17,2,0
3,0,1,0,0,0,1,1,2018,5,22,1,0,0,0,157.0,2,0
2,2,0,3,0,0,3,55,2018,9,16,1,0,0,0,207.9,3,0
2,0,2,5,1,0,0,18,2017,9,12,0,0,0,0,76.8,0,0
2,1,0,3,0,0,0,5,2018,10,20,1,0,0,0,160.0,3,0
1,0,1,3,0,0,0,133,2018,6,13,0,0,0,0,76.0,0,0
1,0,0,3,0,0,1,8,2018,3,15,0,0,0,0,55.0,0,0
2,2,1,3,0,0,3,87,2018,7,7,1,0,0,0,177.3,0,0
2,0,1,3,0,0,0,104,2018,4,18,0,0,0,0,72.25,0,1
2,0,0,2,0,0,0,141,2018,7,5,1,0,0,0,105.3,1,0
2,0,1,3,1,0,0,106,2018,5,2,1,0,0,0,65.79,0,0
2,0,1,2,0,0,0,182,2018,9,16,1,0,0,0,117.9,2,1
2,0,2,2,0,0,0,98,2018,5,21,1,0,0,0,119.85,0,1
2,0,1,2,0,0,0,280,2018,9,19,1,0,0,0,110.0,1,1
2,0,0,1,0,0,1,28,2018,10,14,1,0,0,0,205.0,1,1
2,0,0,2,2,0,0,0,2017,10,16,0,0,0,0,109.0,0,0
2,1,1,2,0,0,0,86,2018,5,20,0,0,0,0,65.0,1,0
2,0,0,2,0,0,0,130,2018,8,22,1,0,0,0,107.87,1,0
2,0,2,5,0,0,0,148,2018,7,25,1,0,0,0,105.96,2,1
2,0,1,0,0,0,0,13,2018,6,6,0,0,0,0,137.0,0,0
2,0,0,2,2,0,0,188,2018,6,1,1,0,0,0,101.5,0,1
2,0,1,2,0,0,0,127,2018,4,22,0,0,0,0,90.0,0,1
2,0,0,3,0,0,0,83,2017,12,31,0,0,0,0,112.0,0,0
2,2,0,2,0,0,3,11,2018,10,30,1,0,0,0,258.0,1,1
2,0,0,1,2,0,0,117,2017,8,1,1,0,0,0,94.5,1,1
2,0,0,3,2,0,0,88,2017,10,5,0,0,0,0,94.5,0,0
2,2,2,3,0,0,3,50,2018,12,3,1,0,0,0,156.9,1,1
2,0,1,1,0,0,0,111,2018,8,1,1,0,0,0,107.1,1,1
2,0,2,2,1,0,0,208,2018,7,30,1,0,0,0,80.75,0,1
2,2,1,2,0,0,3,213,2018,8,27,1,0,0,0,168.3,1,1
